timestamp,spo2,pulse_rate
1780696800000,96.1,58
1780696804000,96.3,58
1780696808000,95.7,58
1780696812000,96.1,58
1780696816000,95.9,57
1780696820000,96.3,59
1780696824000,96.0,57
1780696828000,96.1,59
1780696832000,96.2,58
1780696836000,95.9,58
1780696840000,96.2,58
1780696844000,96.0,59
1780696848000,96.3,59
1780696852000,96.0,58
1780696856000,96.3,58
1780696860000,96.4,59
1780696864000,96.2,57
1780696868000,96.0,59
1780696872000,96.3,58
1780696876000,96.3,57
1780696880000,96.1,57
1780696884000,96.4,58
1780696888000,96.2,58
1780696892000,96.4,58
1780696896000,96.4,59
1780696900000,95.9,58
1780696904000,96.4,58
1780696908000,96.0,58
1780696912000,96.1,59
1780696916000,96.2,59
1780696920000,96.4,58
1780696924000,96.3,58
1780696928000,95.9,58
1780696932000,96.3,58
1780696936000,96.3,58
1780696940000,96.1,59
1780696944000,96.2,58
1780696948000,96.2,58
1780696952000,96.0,58
1780696956000,96.0,58
1780696960000,96.3,59
1780696964000,96.1,59
1780696968000,96.4,58
1780696972000,96.3,58
1780696976000,96.5,58
1780696980000,96.4,59
1780696984000,96.3,58
1780696988000,96.3,58
1780696992000,96.3,58
1780696996000,96.1,59
1780697000000,96.4,59
1780697004000,96.2,58
1780697008000,96.2,58
1780697012000,96.2,59
1780697016000,96.3,59
1780697020000,96.3,58
1780697024000,96.3,60
1780697028000,96.2,58
1780697032000,96.4,58
1780697036000,96.3,60
1780697040000,96.5,58
1780697044000,96.1,59
1780697048000,96.2,58
1780697052000,96.7,58
1780697056000,96.1,58
1780697060000,96.4,60
1780697064000,96.2,59
1780697068000,96.3,59
1780697072000,96.6,59
1780697076000,96.6,59
1780697080000,96.4,59
1780697084000,96.3,58
1780697088000,96.5,59
1780697092000,96.4,59
1780697096000,96.4,59
1780697100000,96.2,60
1780697104000,96.2,58
1780697108000,96.7,59
1780697112000,96.6,58
1780697116000,96.6,60
1780697120000,96.7,58
1780697124000,96.5,60
1780697128000,96.4,59
1780697132000,96.4,58
1780697136000,96.4,58
1780697140000,96.5,58
1780697144000,96.7,60
1780697148000,96.4,60
1780697152000,96.8,59
1780697156000,96.7,59
1780697160000,96.7,58
1780697164000,96.3,59
1780697168000,96.3,58
1780697172000,96.6,58
1780697176000,96.5,59
1780697180000,96.3,58
1780697184000,96.7,59
1780697188000,96.3,59
1780697192000,96.4,58
1780697196000,96.6,60
1780697200000,96.4,59
1780697204000,96.3,60
1780697208000,96.3,59
1780697212000,96.7,60
1780697216000,96.9,59
1780697220000,96.4,60
1780697224000,96.9,59
1780697228000,96.3,59
1780697232000,96.4,58
1780697236000,96.6,60
1780697240000,96.3,59
1780697244000,96.3,60
1780697248000,96.5,59
1780697252000,96.7,59
1780697256000,96.7,59
1780697260000,96.6,60
1780697264000,96.4,60
1780697268000,96.7,59
1780697272000,96.8,60
1780697276000,96.8,60
1780697280000,96.7,59
1780697284000,96.9,61
1780697288000,96.8,60
1780697292000,96.9,59
1780697296000,96.6,60
1780697300000,96.4,60
1780697304000,97.0,60
